channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_500,2654.0,16,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3379.0,16,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9191.0,16,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,475.0,17,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2017.0,17,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2593.0,17,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3264.5,17,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7847.0,17,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,462.0,18,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1742.0,18,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2264.0,18,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3017.0,18,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10411.0,18,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,494.0,19,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1698.0,19,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2357.0,19,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3299.0,19,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9183.0,19,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,397.0,20,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1816.0,20,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2462.0,20,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3197.0,20,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9286.0,20,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,399.0,21,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2047.0,21,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2548.0,21,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3307.0,21,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9757.0,21,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,408.0,22,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2162.75,22,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2729.5,22,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3433.0,22,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8271.0,22,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,497.0,23,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2208.0,23,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2737.0,23,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3547.0,23,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8349.0,23,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,498.0,24,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2186.0,24,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2603.0,24,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3214.0,24,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9154.0,24,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,548.0,25,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1997.0,25,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2461.0,25,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3175.0,25,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9381.0,25,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,397.0,26,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1767.0,26,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2357.0,26,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3066.75,26,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,12313.0,26,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,399.0,27,2,A,200129MZ072BBB07,l100seg,72
